Observation Type,Observation Location,Observation Date
Suspected coyote predation,"MacKerricher State Park, Mendocino County, CA",2016-MAY-24
Suspected coyote predation,"MacKerricher State Park, Mendocino County, CA",2016-MAY-24
Suspected coyote predation,"MacKerricher State Park, Mendocino County, CA",2016-MAY-24
Suspected coyote predation,"MacKerricher State Park, Mendocino County, CA",2017-APR-24
Suspected coyote predation,"MacKerricher State Park, Mendocino County, CA",2017-APR-24
Suspected coyote predation,"MacKerricher State Park, Mendocino County, CA",2017-APR-28
Suspected coyote predation,"MacKerricher State Park, Mendocino County, CA",2018-APR-14
Suspected coyote predation,"MacKerricher State Park, Mendocino County, CA",2018-APR-15
Suspected coyote predation,"MacKerricher State Park, Mendocino County, CA",2018-APR-15
Suspected coyote predation,"MacKerricher State Park, Mendocino County, CA",2018-APR-16
Suspected coyote predation,"MacKerricher State Park, Mendocino County, CA",2018-APR-16
Suspected coyote predation,"MacKerricher State Park, Mendocino County, CA",2018-APR-27
Suspected coyote predation,"MacKerricher State Park, Mendocino County, CA",2018-APR-30
Suspected coyote predation,"MacKerricher State Park, Mendocino County, CA",2018-JUN-08
Suspected coyote predation,"MacKerricher State Park, Mendocino County, CA",2018-MAY-01
Suspected coyote predation,"MacKerricher State Park, Mendocino County, CA",2018-MAY-03
Suspected coyote predation,"MacKerricher State Park, Mendocino County, CA",2018-MAY-17
Suspected coyote predation,"MacKerricher State Park, Mendocino County, CA",2019-APR-24
Suspected coyote predation,"MacKerricher State Park, Mendocino County, CA",2019-APR-29
Suspected coyote predation,"MacKerricher State Park, Mendocino County, CA",2019-APR-29
Suspected coyote predation,"MacKerricher State Park, Mendocino County, CA",2019-MAY-02
Suspected coyote predation,"MacKerricher State Park, Mendocino County, CA",2019-MAY-02
Suspected coyote predation,"MacKerricher State Park, Mendocino County, CA",2019-MAY-03
Suspected coyote predation,"MacKerricher State Park, Mendocino County, CA",2019-MAY-05
Suspected coyote predation,"MacKerricher State Park, Mendocino County, CA",2019-MAY-05
Suspected coyote predation,"MacKerricher State Park, Mendocino County, CA",2019-MAY-06
Suspected coyote predation,"MacKerricher State Park, Mendocino County, CA",2019-MAY-10
Suspected coyote predation,"MacKerricher State Park, Mendocino County, CA",2019-MAY-13
Suspected coyote predation,"MacKerricher State Park, Mendocino County, CA",2019-MAY-24
Suspected coyote predation,"MacKerricher State Park, Mendocino County, CA",2020-APR-30
Suspected coyote predation,"MacKerricher State Park, Mendocino County, CA",2021-APR-22
Suspected coyote predation,"MacKerricher State Park, Mendocino County, CA",2021-APR-23
Suspected coyote predation,"MacKerricher State Park, Mendocino County, CA",2021-APR-28
Suspected coyote predation,"MacKerricher State Park, Mendocino County, CA",2021-APR-28
Suspected coyote predation,"MacKerricher State Park, Mendocino County, CA",2021-MAY-04
Suspected coyote predation,"MacKerricher State Park, Mendocino County, CA",2021-MAY-13
Suspected coyote predation,"MacKerricher State Park, Mendocino County, CA",2021-MAY-14
Suspected coyote predation,"MacKerricher State Park, Mendocino County, CA",2022-APR-17
Suspected coyote predation,"MacKerricher State Park, Mendocino County, CA",2022-APR-17
Suspected coyote predation,"MacKerricher State Park, Mendocino County, CA",2022-APR-26
Suspected coyote predation,"MacKerricher State Park, Mendocino County, CA",2022-APR-28
Suspected coyote predation,"MacKerricher State Park, Mendocino County, CA",2022-APR-28
Suspected coyote predation,"MacKerricher State Park, Mendocino County, CA",2023-APR-16
Suspected coyote predation,"MacKerricher State Park, Mendocino County, CA",2023-APR-16
Suspected coyote predation,"MacKerricher State Park, Mendocino County, CA",2023-APR-22
Suspected coyote predation,"MacKerricher State Park, Mendocino County, CA",2023-APR-22
Suspected coyote predation,"MacKerricher State Park, Mendocino County, CA",2023-APR-22
Confirmed coyote predation,"MacKerricher State Park, Mendocino County, CA",2023-APR-24
Suspected coyote predation,"MacKerricher State Park, Mendocino County, CA",2023-MAY-03
Suspected coyote predation,"MacKerricher State Park, Mendocino County, CA",2023-MAY-03
Suspected coyote predation,"MacKerricher State Park, Mendocino County, CA",2023-MAY-08
Suspected coyote predation,"MacKerricher State Park, Mendocino County, CA",2023-MAY-19
Confirmed coyote predation,"Drakes Estero, Marin County, CA",2021-APR-22
Confirmed coyote predation,"Drakes Estero, Marin County, CA",2021-MAY-06
Confirmed coyote predation,"Drakes Estero, Marin County, CA",2023-APR-22
Confirmed coyote predation,"Bolinas Lagoon, Marin County, CA",2022-APR-07
